,work_qid,work_label,author,authorLabel,publication_date,title,edition_1,edition_2
0,Q136466774,"Die Berg-Maria, oder: Wer nur den lieben Gott läßt walten.",Q6686686,Louis August Wollenweber,1880-01-01T00:00:00Z,,,
1,Q136762019,Willkommen und Abschied,Q710106,Arthur Kahane,1919-01-01T00:00:00Z,Willkommen und Abschied,Q136762200,Q136762370
2,Q136762200,Willkommen und Abschied (Erstausgabe von 1919),Q710106,Arthur Kahane,1919-01-01T00:00:00Z,Willkommen und Abschied,,
3,Q136762370,Willkommen und Abschied (Projekt Gutenberg-DE-Ausgabe),Q710106,Arthur Kahane,,Willkommen und Abschied,,
4,Q136794361,Gefängnis,Q76815,Emmy Hennings,1919-01-01T00:00:00Z,Gefängnis,Q136794614,Q136794803
5,Q136794614,Gefängnis (Erstausgabe),Q76815,Emmy Hennings,1919-01-01T00:00:00Z,Gefängnis,,
6,Q136794803,Gefängnis (Projekt Gutenberg-DE Edition),Q76815,Emmy Hennings,,Gefängnis,,
7,Q136795200,Die letzte Freude,Q76815,Emmy Hennings,1913-01-01T00:00:00Z,Die letzte Freude,Q136795215,Q136795666
8,Q136795215,Die letzte Freude (Erstausgabe von 1913),Q76815,Emmy Hennings,1913-01-01T00:00:00Z,Die letzte Freude,,
9,Q136795666,Die letzte Freude (Project Gutenberg (US) Edition),Q76815,Emmy Hennings,,Die letzte Freude,,
10,Q136800864,Schloß Favorite,Q1324050,Luise Ahlborn,1887-01-01T00:00:00Z,Schloß Favorite,Q136800865,Q136800866
11,Q136800865,Schloß Favorite (Erstausgabe von 1887),Q1324050,Luise Ahlborn,1887-01-01T00:00:00Z,Schloß Favorite,,
12,Q136800866,Schloß Favorite (Projekt Gutenberg-DE Edition),Q1324050,Luise Ahlborn,,Schloß Favorite,,
13,Q136800887,Mädchenlose,Q19144479,Brigitte Augusti,1888-01-01T00:00:00Z,Mädchenlose,Q136800888,Q136800889
14,Q136800888,Mädchenlose (Erstausgabe von 1888),Q19144479,Brigitte Augusti,1888-01-01T00:00:00Z,Mädchenlose,,
15,Q136800889,Mädchenlose (Projekt Gutenberg-DE Edition),Q19144479,Brigitte Augusti,,Mädchenlose,,
16,Q136800890,Der Ring der Nuramaja,Q1795559,Käthe van Beeker,1919-01-01T00:00:00Z,Der Ring der Nuramaja,Q136800891,Q136800892
17,Q136800891,Der Ring der Nuramaja (Erstausgabe von 1919),Q1795559,Käthe van Beeker,1919-01-01T00:00:00Z,Der Ring der Nuramaja,,
18,Q136800892,Der Ring der Nuramaja (Projekt Gutenberg-DE Edition),Q1795559,Käthe van Beeker,,Der Ring der Nuramaja,,
